Value:	Frequency:	Relative:
[1] 	94 		0.0940
[2] 	105 		0.1050
[3] 	98 		0.0980
[4] 	117 		0.1170
[5] 	102 		0.1020
[6] 	98 		0.0980
[7] 	92 		0.0920
[8] 	97 		0.0970
[9] 	96 		0.0960
[10] 	101 		0.1010
Processed 1000 Values in 0.001952 (s).
Value:	Frequency:	Relative:
[1] 	96 		0.0960
[2] 	104 		0.1040
[3] 	104 		0.1040
[4] 	79 		0.0790
[5] 	100 		0.1000
[6] 	116 		0.1160
[7] 	99 		0.0990
[8] 	98 		0.0980
[9] 	89 		0.0890
[10] 	106 		0.1060
Processed 1000 Values in 0.001640 (s).
Value:	Frequency:	Relative:
[1] 	93 		0.0930
[2] 	93 		0.0930
[3] 	104 		0.1040
[4] 	95 		0.0950
[5] 	108 		0.1080
[6] 	122 		0.1220
[7] 	95 		0.0950
[8] 	95 		0.0950
[9] 	85 		0.0850
[10] 	110 		0.1100
Processed 1000 Values in 0.001435 (s).
Value:	Frequency:	Relative:
[1] 	106 		0.1060
[2] 	90 		0.0900
[3] 	91 		0.0910
[4] 	108 		0.1080
[5] 	105 		0.1050
[6] 	98 		0.0980
[7] 	108 		0.1080
[8] 	95 		0.0950
[9] 	104 		0.1040
[10] 	95 		0.0950
Processed 1000 Values in 0.001793 (s).
Value:	Frequency:	Relative:
[1] 	79 		0.0790
[2] 	80 		0.0800
[3] 	88 		0.0880
[4] 	76 		0.0760
[5] 	73 		0.0730
[6] 	68 		0.0680
[7] 	82 		0.0820
[8] 	95 		0.0950
[9] 	-84003486 		-84003.4844
[10] 	11157 		11.1570
Processed 1000 Values in 0.001373 (s).
Value:	Frequency:	Relative:
[1] 	100 		0.1000
[2] 	89 		0.0890
[3] 	106 		0.1060
[4] 	105 		0.1050
[5] 	99 		0.0990
[6] 	104 		0.1040
[7] 	92 		0.0920
[8] 	99 		0.0990
[9] 	104 		0.1040
[10] 	102 		0.1020
Processed 1000 Values in 0.001777 (s).
Value:	Frequency:	Relative:
[1] 	102 		0.1020
[2] 	108 		0.1080
[3] 	100 		0.1000
[4] 	101 		0.1010
[5] 	94 		0.0940
[6] 	93 		0.0930
[7] 	113 		0.1130
[8] 	95 		0.0950
[9] 	100 		0.1000
[10] 	94 		0.0940
Processed 1000 Values in 0.001505 (s).
Value:	Frequency:	Relative:
[1] 	94 		0.0940
[2] 	93 		0.0930
[3] 	93 		0.0930
[4] 	92 		0.0920
[5] 	102 		0.1020
[6] 	102 		0.1020
[7] 	109 		0.1090
[8] 	105 		0.1050
[9] 	106 		0.1060
[10] 	104 		0.1040
Processed 1000 Values in 0.001648 (s).
Value:	Frequency:	Relative:
[1] 	111 		0.1110
[2] 	86 		0.0860
[3] 	99 		0.0990
[4] 	110 		0.1100
[5] 	102 		0.1020
[6] 	103 		0.1030
[7] 	90 		0.0900
[8] 	95 		0.0950
[9] 	105 		0.1050
[10] 	99 		0.0990
Processed 1000 Values in 0.001463 (s).
Value:	Frequency:	Relative:
[1] 	107 		0.1070
[2] 	94 		0.0940
[3] 	104 		0.1040
[4] 	94 		0.0940
[5] 	97 		0.0970
[6] 	103 		0.1030
[7] 	104 		0.1040
[8] 	100 		0.1000
[9] 	-89635463 		-89635.4609
[10] 	11204 		11.2040
Processed 1000 Values in 0.001907 (s).
Value:	Frequency:	Relative:
[1] 	87 		0.0870
[2] 	117 		0.1170
[3] 	116 		0.1160
[4] 	112 		0.1120
[5] 	93 		0.0930
[6] 	88 		0.0880
[7] 	95 		0.0950
[8] 	84 		0.0840
[9] 	121 		0.1210
[10] 	87 		0.0870
Processed 1000 Values in 0.001687 (s).
Value:	Frequency:	Relative:
[1] 	96 		0.0960
[2] 	107 		0.1070
[3] 	93 		0.0930
[4] 	94 		0.0940
[5] 	110 		0.1100
[6] 	111 		0.1110
[7] 	106 		0.1060
[8] 	93 		0.0930
[9] 	100 		0.1000
[10] 	90 		0.0900
Processed 1000 Values in 0.001696 (s).
Value:	Frequency:	Relative:
[1] 	100 		0.1000
[2] 	96 		0.0960
[3] 	106 		0.1060
[4] 	97 		0.0970
[5] 	113 		0.1130
[6] 	86 		0.0860
[7] 	91 		0.0910
[8] 	98 		0.0980
[9] 	105 		0.1050
[10] 	108 		0.1080
Processed 1000 Values in 0.001955 (s).
Value:	Frequency:	Relative:
[1] 	91 		0.0910
[2] 	99 		0.0990
[3] 	107 		0.1070
[4] 	112 		0.1120
[5] 	81 		0.0810
[6] 	127 		0.1270
[7] 	101 		0.1010
[8] 	99 		0.0990
[9] 	93 		0.0930
[10] 	90 		0.0900
Processed 1000 Values in 0.001560 (s).
