Value:	Frequency:	Relative:
[1] 	184 		0.0920
[2] 	192 		0.0960
[3] 	199 		0.0995
[4] 	204 		0.1020
[5] 	215 		0.1075
[6] 	194 		0.0970
[7] 	164 		0.0820
[8] 	195 		0.0975
[9] 	208 		0.1040
[10] 	201 		0.1005
Processed 2000 Values in 0.002778 (s).
Value:	Frequency:	Relative:
[1] 	106 		0.0530
[2] 	117 		0.0585
[3] 	101 		0.0505
[4] 	110 		0.0550
[5] 	112 		0.0560
[6] 	98 		0.0490
[7] 	107 		0.0535
[8] 	111 		0.0555
[9] 	108 		0.0540
[10] 	120 		0.0600
Processed 2000 Values in 0.002402 (s).
Value:	Frequency:	Relative:
[1] 	203 		0.1015
[2] 	173 		0.0865
[3] 	201 		0.1005
[4] 	212 		0.1060
[5] 	190 		0.0950
[6] 	209 		0.1045
[7] 	187 		0.0935
[8] 	186 		0.0930
[9] 	-2105838124 		-1052919.0000
[10] 	11176 		5.5880
Processed 2000 Values in 0.002564 (s).
Value:	Frequency:	Relative:
[1] 	220 		0.1100
[2] 	164 		0.0820
[3] 	188 		0.0940
[4] 	192 		0.0960
[5] 	179 		0.0895
[6] 	215 		0.1075
[7] 	203 		0.1015
[8] 	199 		0.0995
[9] 	173 		0.0865
[10] 	186 		0.0930
Processed 2000 Values in 0.002585 (s).
Value:	Frequency:	Relative:
[1] 	196 		0.0980
[2] 	201 		0.1005
[3] 	195 		0.0975
[4] 	195 		0.0975
[5] 	190 		0.0950
[6] 	210 		0.1050
[7] 	218 		0.1090
[8] 	197 		0.0985
[9] 	188 		0.0940
[10] 	210 		0.1050
Processed 2000 Values in 0.002196 (s).
Value:	Frequency:	Relative:
[1] 	178 		0.0890
[2] 	204 		0.1020
[3] 	200 		0.1000
[4] 	174 		0.0870
[5] 	207 		0.1035
[6] 	189 		0.0945
[7] 	216 		0.1080
[8] 	185 		0.0925
[9] 	209 		0.1045
[10] 	238 		0.1190
Processed 2000 Values in 0.003112 (s).
Value:	Frequency:	Relative:
[1] 	207 		0.1035
[2] 	223 		0.1115
[3] 	213 		0.1065
[4] 	194 		0.0970
[5] 	197 		0.0985
[6] 	205 		0.1025
[7] 	211 		0.1055
[8] 	176 		0.0880
[9] 	183 		0.0915
[10] 	175 		0.0875
Processed 2000 Values in 0.002338 (s).
Value:	Frequency:	Relative:
[1] 	208 		0.1040
[2] 	215 		0.1075
[3] 	193 		0.0965
[4] 	195 		0.0975
[5] 	215 		0.1075
[6] 	191 		0.0955
[7] 	191 		0.0955
[8] 	195 		0.0975
[9] 	199 		0.0995
[10] 	198 		0.0990
Processed 2000 Values in 0.002530 (s).
Value:	Frequency:	Relative:
[1] 	198 		0.0990
[2] 	176 		0.0880
[3] 	213 		0.1065
[4] 	181 		0.0905
[5] 	182 		0.0910
[6] 	203 		0.1015
[7] 	210 		0.1050
[8] 	200 		0.1000
[9] 	199 		0.0995
[10] 	231 		0.1155
Processed 2000 Values in 0.001856 (s).
Value:	Frequency:	Relative:
[1] 	194 		0.0970
[2] 	200 		0.1000
[3] 	209 		0.1045
[4] 	216 		0.1080
[5] 	196 		0.0980
[6] 	200 		0.1000
[7] 	180 		0.0900
[8] 	198 		0.0990
[9] 	205 		0.1025
[10] 	202 		0.1010
Processed 2000 Values in 0.002221 (s).
Value:	Frequency:	Relative:
[1] 	182 		0.0910
[2] 	186 		0.0930
[3] 	187 		0.0935
[4] 	228 		0.1140
[5] 	190 		0.0950
[6] 	204 		0.1020
[7] 	216 		0.1080
[8] 	224 		0.1120
[9] 	184 		0.0920
[10] 	199 		0.0995
Processed 2000 Values in 0.001583 (s).
Value:	Frequency:	Relative:
[1] 	201 		0.1005
[2] 	189 		0.0945
[3] 	195 		0.0975
[4] 	196 		0.0980
[5] 	174 		0.0870
[6] 	212 		0.1060
[7] 	167 		0.0835
[8] 	202 		0.1010
[9] 	214 		0.1070
[10] 	206 		0.1030
Processed 2000 Values in 0.002301 (s).
Value:	Frequency:	Relative:
[1] 	192 		0.0960
[2] 	177 		0.0885
[3] 	177 		0.0885
[4] 	196 		0.0980
[5] 	188 		0.0940
[6] 	184 		0.0920
[7] 	176 		0.0880
[8] 	194 		0.0970
[9] 	203 		0.1015
[10] 	189 		0.0945
Processed 2000 Values in 0.002732 (s).
Value:	Frequency:	Relative:
[1] 	201 		0.1005
[2] 	166 		0.0830
[3] 	205 		0.1025
[4] 	200 		0.1000
[5] 	199 		0.0995
[6] 	203 		0.1015
[7] 	224 		0.1120
[8] 	203 		0.1015
[9] 	197 		0.0985
[10] 	202 		0.1010
Processed 2000 Values in 0.002244 (s).
